Alpha&Cls				
UID	NANE	PROCESS	FUNCTION	CLASSIFICATION (Spellman et al. [3])
YAL001C	TFC3	transcription	TFIIIC 138 kD subunit	
YAL009W	SPO7	meiosis	unknown	
YAL014C	YAL014C	unknown	unknown	
YAL015C	NTG1	DNA repair	DNA glycosylase	
YAL016W	TPD3	"tRNA biosynthesis, cytokinesis, ceramide-mediated signaling"	protein phosphatase (PP2A regulatory subunit)	
YAL017W	FUN31	unknown	putative protein kinase	
YAL018C	YAL018C	unknown	unknown	
YAL019W	FUN30	unknown	unknown; similar to SNF2 transcriptional regulator	
YAL020C	ATS1	cytoskeleton (putative)	unknown; similar to human RCC1	
YAL021C	CCR4	catabolite repression	component of CCR4 transcriptional complex	
YAL022C	FUN26	unknown	unknown	G2/M
YAL023C	PMT2	protein glycosylation	dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase	
YAL024C	LTE1	cell cycle	GDP/GTP exchange factor	
YAL025C	MAK16	dsRNA virus propagation	unknown; essential gene 	
YAL035W	FUN12	unknown	unknown; similar to Bacillus subtilis IF2	
YAL036C	FUN11	unknown	unknown; similar to Xenopus laevis GTP-binding protein DRG	
YAL037W	YAL037W	unknown	unknown	
YAL038W	CDC19	glycolysis	pyruvate kinase	
YAL039C	CYC3	cytochrome c biosynthesis	cytochrome c heme lyase	
YAL040C	CLN3	cell cycle	G1/S cyclin	G2/M
YAL041W	CDC24	cell polarity	GDP/GTP exchange factor for Cdc42p	
YAL043C	PTA1	tRNA processing	unknown	
YAL044C	GCV3	glycine metabolism	glycine decarboxylase	
YAL045C	YAL045C	unknown	unknown	
YAL046C	YAL046C	unknown	unknown	
YAL047C	SPC72	cytoskeleton	spindle pole body component	
YAL048C	YAL048C	secretion (putative)	"unknown; similar to Ras1p, Ras2p, and other GTP-binding  proteins of the RAS superfamily"	
YAL049C	YAL049C	unknown	unknown	
YAL051W	YAF1	peroxisome proliferation	transcriptional activator of POX1	
YAL056W	YAL056W	unknown	unknown	
YAL063C	FLO9	flocculation	cell wall protein	
YAL064W	YAL064W	unknown	unknown	
YAL066W	YAL066W	unknown	unknown	
YAR002W	YAR002W	unknown	unknown	
YAR003W	YAR003W	unknown	unknown	G1
YAR007C	RFA1	DNA replication	"replication factor A, 69 kD subunit"	G1
YAR008W	SEN34	tRNA splicing	splicing endonuclease subunit	G1
YAR009C	YAR009C	unknown	unknown	
YAR010C	YAR010C	unknown	unknown	
YAR019C	CDC15	cell cycle	protein kinase	
YAR028W	YAR028W	unknown	unknown; similar to subtelomerically-encoded proteins	
YAR035W	YAT1	fatty acid transport	carnitine O-acetyltransferase	
YAR042W	SWH1	unknown	unknown; similar to mammalian oxysterol-binding protein	
YAR044W	OSH1	sterol biosynthesis (putative)	similar to human oxysterol binding protein	
YAR047C	YAR047C	unknown	unknown	
YAR050W	FLO1	flocculation	cell wall protein	
YAR053W	YAR053W	unknown	unknown	
YAR060C	YAR060C	unknown	identical to Yhr212p	
YAR061W	YAR061W	unknown	unknown; similar to N-terminus of Flo1p	
YBL002W	HTB2	chromatin structure	histone H2B	S
YBL003C	HTA2	chromatin structure	histone H2A	S
YBL005W	PDR3	transport	transcription factor	
YBL005W-A	YBL005W-A	unknown	unknown	
YBL005W-B	YBL005W-B	unknown	unknown	
YBL006C	YBL006C	unknown	unknown	
YBL007C	SLA1	cytoskeleton	cortical actin assembly	
YBL008W	HIR1	transcription	histone transcription inhibitor	
YBL009W	YBL009W	unknown	unknown	G1
YBL010C	YBL010C	unknown	unknown	
YBL011W	SCT1	unknown	suppresses a choline-transport mutant	
YBL012C	YBL012C	unknown	unknown	
YBL013W	YBL013W	unknown	"unknown; similar to met-tRNA formyltransferase,"	
YBL014C	RRN6	transcription	component of rDNA transcription factor complex	
YBL022C	PIM1	respiration	mitochondrial ATP-dependent protease	
YBL027W	RPL19B	protein synthesis	ribosomal protein L19B	
YBL028C	YBL028C	unknown	unknown	
YBL029W	YBL029W	unknown	unknown	
