Elutriation				
UID	NANE	PROCESS	FUNCTION	CLASSIFICATION (Spellman et al. [3])
YAL001C	TFC3	transcription	TFIIIC 138 kD subunit	
YAL002W	VPS8	vacuolar protein targeting	unknown	
YAL003W	EFB1	protein synthesis	translation elongation factor EF1-beta	
YAL004W	YAL004W	unknown	unknown	
YAL005C	SSA1	ER and mitochondrial translocation	cytosolic HSP70	
YAL007C	ERP2	membrane trafficking; secretion (putative)	unknown	
YAL008W	FUN14	unknown	unknown	
YAL009W	SPO7	meiosis	unknown	
YAL010C	MDM10	mitochondrial biogenesis	(putative) component of actin binding protein complex	
YAL011W	YAL011W	unknown	unknown	
YAL012W	CYS3	methionine biosynthesis	cystathionine gamma-lyase	
YAL013W	DEP1	phospholipid metabolism	regulator	
YAL014C	YAL014C	unknown	unknown	
YAL015C	NTG1	DNA repair	DNA glycosylase	
YAL016W	TPD3	"tRNA biosynthesis, cytokinesis, ceramide-mediated signaling"	protein phosphatase (PP2A regulatory subunit)	
YAL017W	FUN31	unknown	putative protein kinase	
YAL018C	YAL018C	unknown	unknown	
YAL019W	FUN30	unknown	unknown; similar to SNF2 transcriptional regulator	
YAL020C	ATS1	cytoskeleton (putative)	unknown; similar to human RCC1	
YAL021C	CCR4	catabolite repression	component of CCR4 transcriptional complex	
YAL022C	FUN26	unknown	unknown	G2/M
YAL023C	PMT2	protein glycosylation	dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase	
YAL024C	LTE1	cell cycle	GDP/GTP exchange factor	
YAL025C	MAK16	dsRNA virus propagation	unknown; essential gene 	
YAL026C	DRS2	transport	Ca(2+) transporting ATPase	
YAL027W	YAL027W	unknown	unknown	
YAL028W	YAL028W	unknown	unknown	
YAL029C	MYO4	cell polarity	myosin; asymmetric HO expression	
YAL030W	SNC1	secretion	Golgi v-SNARE	
YAL031C	FUN21	unknown	unknown	
YAL032C	PRP45	mRNA splicing	"U2, U5, U6 snRNP protein"	
YAL033W	POP5	tRNA processing	RNase P and RNase MRP subunit	
YAL034C	FUN19	unknown	unknown	
YAL035W	FUN12	unknown	unknown; similar to Bacillus subtilis IF2	
YAL036C	FUN11	unknown	unknown; similar to Xenopus laevis GTP-binding protein DRG	
YAL037W	YAL037W	unknown	unknown	
YAL038W	CDC19	glycolysis	pyruvate kinase	
YAL039C	CYC3	cytochrome c biosynthesis	cytochrome c heme lyase	
YAL040C	CLN3	cell cycle	G1/S cyclin	G2/M
YAL041W	CDC24	cell polarity	GDP/GTP exchange factor for Cdc42p	
YAL042W	FUN9	unknown	unknown	
YAL043C	PTA1	tRNA processing	unknown	
YAL044C	GCV3	glycine metabolism	glycine decarboxylase	
YAL045C	YAL045C	unknown	unknown	
YAL046C	YAL046C	unknown	unknown	
YAL047C	SPC72	cytoskeleton	spindle pole body component	
YAL048C	YAL048C	secretion (putative)	"unknown; similar to Ras1p, Ras2p, and other GTP-binding  proteins of the RAS superfamily"	
YAL049C	YAL049C	unknown	unknown	
YAL051W	YAF1	peroxisome proliferation	transcriptional activator of POX1	
YAL053W	YAL053W	unknown	unknown	G1
YAL054C	ACS1	acetyl-CoA biosynthesis	acetyl-CoA synthetase	
YAL055W	YAL055W	unknown	unknown	
YAL056W	YAL056W	unknown	unknown	
YAL058W	CNE1	secretion	calnexin and calreticulin homolog	
YAL059W	ECM1	cell wall biogenesis	unknown	
YAL060W	YAL060W	unknown	unknown; similar to alcohol/sorbitol dehydrogenase	
YAL061W	YAL061W	unknown	unknown; similar to alcohol/sorbitol dehydrogenase	
YAL063C	FLO9	flocculation	cell wall protein	
YAL064W	YAL064W	unknown	unknown	
YAL065C	YAL065C	unknown	unknown; similar to Flo1p	
YAL066W	YAL066W	unknown	unknown	
YAL067C	SEO1	drug resistance	suppressor of sulfoxyde ethionine	S
YAR002W	YAR002W	unknown	unknown	
YAR003W	YAR003W	unknown	unknown	G1
YAR007C	RFA1	DNA replication	"replication factor A, 69 kD subunit"	G1
YAR008W	SEN34	tRNA splicing	splicing endonuclease subunit	G1
YAR009C	YAR009C	unknown	unknown	
YAR010C	YAR010C	unknown	unknown	
YAR014C	YAR014C	unknown	unknown	
YAR018C	KIN3	unknown	protein kinase	G2/M
YAR019C	CDC15	cell cycle	protein kinase	
YAR020C	PAU7	unknown	"unknown; similar to Pau3p/Ycr104p, PAU1 family"	
YAR023C	YAR023C	unknown	unknown; similar to subtelomerically-encoded proteins	
YAR027W	YAR027W	unknown	unknown; similar to subtelomerically-encoded proteins	
YAR028W	YAR028W	unknown	unknown; similar to subtelomerically-encoded proteins	
YAR029W	YAR029W	unknown	unknown; similar to subtelomerically-encoded proteins	
YAR030C	YAR030C	unknown	unknown	
YAR031W	YAR031W	unknown	unknown; similar to subtelomerically-encoded proteins	
YAR033W	YAR033W	unknown	unknown; similar to subtelomerically-encoded proteins	
YAR035W	YAT1	fatty acid transport	carnitine O-acetyltransferase	
YAR042W	SWH1	unknown	unknown; similar to mammalian oxysterol-binding protein	
YAR044W	OSH1	sterol biosynthesis (putative)	similar to human oxysterol binding protein	
YAR047C	YAR047C	unknown	unknown	
YAR050W	FLO1	flocculation	cell wall protein	
YAR053W	YAR053W	unknown	unknown	
YAR060C	YAR060C	unknown	identical to Yhr212p	
